Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,split_k_mode,m,n,k,A,B,C,alpha,beta,split_k_slices,batch_count,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
3,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:row,f32:column,1,0,1,4,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,134217728,68753031168,512,0.810701,154.188,84806.9
3,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:column,f32:column,1,0,1,4,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,134217728,68753031168,512,0.844237,148.063,81438.1
3,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:row,f32:column,1,0,1,4,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,134217728,68753031168,512,0.796887,156.86,86277
3,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:column,f16:column,1,0,1,4,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,100663296,68753031168,683,0.784794,119.458,87606.5
3,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:row,f16:column,1,0,1,4,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,100663296,68753031168,683,0.790804,118.55,86940.6
3,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:column,f16:column,1,0,1,4,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,100663296,68753031168,683,0.809667,115.788,84915.2
3,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:row,f16:column,1,0,1,4,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,100663296,68753031168,683,0.772024,121.434,89055.5
4,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:column,f32:column,1,0,1,8,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,268435456,137506062336,512,1.53352,163.023,89666.8
4,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:row,f32:column,1,0,1,8,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,268435456,137506062336,512,1.513,165.235,90883
4,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:column,f32:column,1,0,1,8,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,268435456,137506062336,512,1.59048,157.186,86455.9
