Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,split_k_mode,m,n,k,A,B,C,alpha,beta,split_k_slices,batch_count,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
51,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,8,1,f16:column,f16:row,f16:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,36880,65536,1,0.010711,3.20671,6.11855
52,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,4096,8,1,f16:column,f16:row,f32:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,139280,131072,0,0.00945152,13.7242,13.8678
52,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,4096,8,1,f16:column,f16:row,f16:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,73744,131072,1,0.0107418,6.39369,12.2021
56,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,8,16,1,f16:column,f16:row,f32:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,560,512,0,0.00932864,0.0559075,0.0548847
56,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,8,16,1,f16:column,f16:row,f16:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,304,512,1,0.0106803,0.0265088,0.0479386
57,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,16,16,1,f16:column,f16:row,f32:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1088,1024,0,0.0093184,0.10874,0.10989
57,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,16,16,1,f16:column,f16:row,f16:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,576,1024,1,0.010711,0.0500831,0.0956023
58,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,32,16,1,f16:column,f16:row,f32:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2144,2048,0,0.00932864,0.214046,0.219539
58,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,32,16,1,f16:column,f16:row,f16:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1120,2048,1,0.0106906,0.0975703,0.191571
59,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,64,16,1,f16:column,f16:row,f32:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,4256,4096,0,0.00934912,0.423966,0.438116
