Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,split_k_mode,m,n,k,A,B,C,alpha,beta,split_k_slices,batch_count,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
5,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,16,f16:row,f16:row,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2164260864,18253611008,8,2.89939,695.188,6295.66
5,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,16,f16:column,f16:column,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1090519040,18253611008,16,2.00137,507.466,9120.57
5,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,16,f16:column,f16:row,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1090519040,18253611008,16,2.0106,505.134,9078.67
5,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,16,f16:row,f16:column,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1090519040,18253611008,16,2.0061,506.269,9099.06
5,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,16,f16:row,f16:row,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1090519040,18253611008,16,2.00691,506.065,9095.4
6,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,32,f16:column,f16:column,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2181038080,35433480192,16,2.90443,699.362,12199.8
6,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,32,f16:column,f16:row,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2181038080,35433480192,16,2.96239,685.679,11961.1
6,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,32,f16:row,f16:column,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2181038080,35433480192,16,2.876,706.277,12320.4
6,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,32,f16:row,f16:row,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2181038080,35433480192,16,2.96089,686.028,11967.2
6,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,32,f16:column,f16:column,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1107296256,35433480192,32,2.03942,505.659,17374.3
6,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,32,f16:column,f16:row,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1107296256,35433480192,32,2.03752,506.129,17390.5
6,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,32,f16:row,f16:column,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1107296256,35433480192,32,2.03108,507.734,17445.6
6,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,32,f16:row,f16:row,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1107296256,35433480192,32,2.04116,505.228,17359.5
7,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,64,f16:column,f16:column,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2214592512,69793218560,31,3.56281,578.896,19589.4
7,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,64,f16:column,f16:row,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2214592512,69793218560,31,3.4367,600.14,20308.2
