Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,split_k_mode,m,n,k,A,B,C,alpha,beta,split_k_slices,batch_count,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,1024,1024,1024,f16:column,f16:column,f32:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,8388608,2149580800,256,0.0620544,125.898,34640.3
1,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,1024,1024,1024,f16:column,f16:row,f32:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,8388608,2149580800,256,0.0618701,126.273,34743.5
1,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,1024,1024,1024,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,8388608,2149580800,256,0.0646758,120.795,33236.2
1,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,1024,1024,1024,f16:row,f16:row,f32:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,8388608,2149580800,256,0.0611635,127.731,35144.8
1,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,1024,1024,1024,f16:column,f16:column,f16:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,6291456,2149580800,341,0.0625254,93.7119,34379.3
1,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,1024,1024,1024,f16:column,f16:row,f16:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,6291456,2149580800,341,0.0624538,93.8194,34418.8
1,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,1024,1024,1024,f16:row,f16:column,f16:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,6291456,2149580800,341,0.0626893,93.4669,34289.4
1,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,1024,1024,1024,f16:row,f16:row,f16:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,6291456,2149580800,341,0.060969,96.1042,35257
2,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,1024,1024,1024,f16:column,f16:column,f32:column,1,0,1,2,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,16777216,4299161600,256,0.0635699,245.792,67628.9
2,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,1024,1024,1024,f16:column,f16:row,f32:column,1,0,1,2,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,16777216,4299161600,256,0.0637338,245.16,67455
2,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,1024,1024,1024,f16:row,f16:column,f32:column,1,0,1,2,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,16777216,4299161600,256,0.0660685,236.497,65071.3
2,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,1024,1024,1024,f16:row,f16:row,f32:column,1,0,1,2,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,16777216,4299161600,256,0.0625562,249.776,68724.8
2,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,1024,1024,1024,f16:column,f16:column,f16:column,1,0,1,2,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,12582912,4299161600,341,0.0622694,188.194,69041.3
2,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,1024,1024,1024,f16:column,f16:row,f16:column,1,0,1,2,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,12582912,4299161600,341,0.0625766,187.27,68702.3
2,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,1024,1024,1024,f16:row,f16:column,f16:column,1,0,1,2,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,12582912,4299161600,341,0.0628941,186.325,68355.6
2,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,1024,1024,1024,f16:row,f16:row,f16:column,1,0,1,2,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,12582912,4299161600,341,0.0608666,192.532,70632.6
3,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,1024,1024,1024,f16:column,f16:column,f32:column,1,0,1,4,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,33554432,8598323200,256,0.123382,253.279,69688.8
3,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,1024,1024,1024,f16:column,f16:row,f32:column,1,0,1,4,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,33554432,8598323200,256,0.123904,252.211,69395
3,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,1024,1024,1024,f16:row,f16:column,f32:column,1,0,1,4,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,33554432,8598323200,256,0.129116,242.03,66593.7
3,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,1024,1024,1024,f16:row,f16:row,f32:column,1,0,1,4,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,33554432,8598323200,256,0.12202,256.106,70466.6
3,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,1024,1024,1024,f16:column,f16:column,f16:column,1,0,1,4,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,25165824,8598323200,341,0.119122,196.752,72180.9
3,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,1024,1024,1024,f16:column,f16:row,f16:column,1,0,1,4,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,25165824,8598323200,341,0.118548,197.704,72530
3,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,1024,1024,1024,f16:row,f16:column,f16:column,1,0,1,4,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,25165824,8598323200,341,0.120289,194.843,71480.4
3,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,1024,1024,1024,f16:row,f16:row,f16:column,1,0,1,4,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,25165824,8598323200,341,0.115968,202.103,74143.9
4,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,1024,1024,1024,f16:column,f16:column,f32:column,1,0,1,8,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,67108864,17196646400,256,0.239718,260.723,71736.9
4,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,1024,1024,1024,f16:column,f16:row,f32:column,1,0,1,8,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,67108864,17196646400,256,0.240937,259.404,71374
4,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,1024,1024,1024,f16:row,f16:column,f32:column,1,0,1,8,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,67108864,17196646400,256,0.24958,250.421,68902.5
4,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,1024,1024,1024,f16:row,f16:row,f32:column,1,0,1,8,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,67108864,17196646400,256,0.237046,263.662,72545.7
4,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,1024,1024,1024,f16:column,f16:column,f16:column,1,0,1,8,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,50331648,17196646400,341,0.234516,199.879,73328.1
4,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,1024,1024,1024,f16:column,f16:row,f16:column,1,0,1,8,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,50331648,17196646400,341,0.234404,199.975,73363.3
4,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,1024,1024,1024,f16:row,f16:column,f16:column,1,0,1,8,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,50331648,17196646400,341,0.237629,197.261,72367.5
4,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,1024,1024,1024,f16:row,f16:row,f16:column,1,0,1,8,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,50331648,17196646400,341,0.228966,204.724,75105.5
5,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,1024,1024,1024,f16:column,f16:column,f32:column,1,0,1,16,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,134217728,34393292800,256,0.421591,296.496,81579.8
5,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,1024,1024,1024,f16:column,f16:row,f32:column,1,0,1,16,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,134217728,34393292800,256,0.426353,293.185,80668.6
5,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,1024,1024,1024,f16:row,f16:column,f32:column,1,0,1,16,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,134217728,34393292800,256,0.442296,282.616,77760.7
5,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,1024,1024,1024,f16:row,f16:row,f32:column,1,0,1,16,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,134217728,34393292800,256,0.418017,299.031,82277.2
5,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,1024,1024,1024,f16:column,f16:column,f16:column,1,0,1,16,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,100663296,34393292800,341,0.410982,228.112,83685.6
5,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,1024,1024,1024,f16:column,f16:row,f16:column,1,0,1,16,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,100663296,34393292800,341,0.410143,228.579,83856.9
5,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,1024,1024,1024,f16:row,f16:column,f16:column,1,0,1,16,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,100663296,34393292800,341,0.414966,225.922,82882.2
5,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,1024,1024,1024,f16:row,f16:row,f16:column,1,0,1,16,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,100663296,34393292800,341,0.400138,234.294,85953.5
6,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,1024,1024,1024,f16:column,f16:column,f32:column,1,0,1,32,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,268435456,68786585600,256,0.783882,318.925,87751.2
6,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,1024,1024,1024,f16:column,f16:row,f32:column,1,0,1,32,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,268435456,68786585600,256,0.786831,317.73,87422.3
6,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,1024,1024,1024,f16:row,f16:column,f32:column,1,0,1,32,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,268435456,68786585600,256,0.81962,305.019,83925
